"0";"Modeler l’eau";"Sort mineur de transmutation";"1 action";"9 m";"G";"instantanée ou 1 heure (voir description)";"Vous choisissez une zone d’eau que vous voyez à portée dont les dimensions ne dépassent pas celle d’un cube de 1,50 m d’arête. Vous manipulez cette eau de l’une des manières suivantes : <br> • Vous en altérez le courant dans la direction de votre choix ou déplacez l’eau, d’un maximum de 1,50 m. Ce mouvement liquide ne suffit pas à infliger des dégâts. <br> • L’eau adopte les formes simples et les mouvements rudimentaires que vous lui imprimez. Cette altération persiste pendant 1 heure. <br> • Vous changez uniformément la couleur ou l’opacité de tout le volume l’eau. Cette altération persiste pendant 1 heure. <br> • Vous gelez l’eau, à condition qu’elle ne contienne aucune créature. L’eau retrouve sa forme liquide au bout de 1 heure. <br> Si vous lancez ce sort plusieurs fois, deux altérations non instantanées peuvent être actives en même temps, sachant que vous pouvez révoquer un tel effet au prix d’une action.";"Druide"
"0";"Modeler la terre";"Sort mineur de transmutation";"1 action";"9 m";"G";"instantanée ou 1 heure (voir description)";"Choisissez une portion de terre ou de pierre que vous voyez à portée et dont les dimensions ne dépassent pas un cube de 1,50 m d’arête. Vous la manipulez de l’une des manières suivantes :<br> Si vous ciblez une zone de terre meuble, vous pouvez aussitôt l’extraire pour en faire un tas dans un rayon de 1,50 m. L’énergie occasionnée par ce déplacement ne suffit pas à infliger des dégâts.<br> • Vous faites apparaître des formes ou des couleurs (ou les deux) parmi la pierre ou la terre, de manière à tracer des lettres, des images ou des motifs. L’altération en question persiste pendant 1 heure.<br> • Si la terre ou la pierre ciblée se trouve au sol, vous la transformez en terrain difficile. Vous pouvez au contraire la transformer en terrain normal si elle constituait déjà un terrain difficile. L’altération en question persiste pendant 1 heure.<br> Si vous lancez ce sort plusieurs fois, deux altérations non instantanées peuvent être actives en même temps, sachant que vous pouvez révoquer un tel effet au prix d’une action.<br> ";"Druide"
"0";"Pierre magique";"Sort mineur de transmutation";"1 action bonus";"contact";"V, G";"1 minute";"Vous touchez entre un et trois galets pour les imprégner de magie. Vous ou quelqu’un d’autre pouvez effectuer une attaque de sort à distance avec l’un des galets en le lançant à la main ou avec une fronde. Si vous le jetez à la main, le galet a une portée de 18 m. Si quelqu’un d’autre attaque avec un tel galet, la créature en question ajoute votre modificateur de caractéristique d'incantation au jet d’attaque au lieu de son propre modificateur. Si l’attaque touche, la cible subit des dégâts contondants égaux à 1d6 + votre modificateur de caractéristique d'incantation. Que l’attaque soit réussie ou non, le galet en question perd les effets du sort. <br> Si vous relancez ce sort, la magie prend fin sur les galets encore affectés par votre précédente incantation.";"Druide"
"0";"Produire une flamme";"Sort mineur d’invocation";"1 action";"personnelle";"V, G";"10 minutes";"Une flamme vacillante apparaît dans votre main. Elle y reste pour toute la durée du sort sans vous blesser ni endommager votre équipement. Elle produit une lumière vive dans un rayon de 3 m et une lumière faible sur 3 m de plus. Le sort prend fin si vous le révoquez au prix d’une action ou si vous le relancez. <br> Vous pouvez aussi attaquer avec la flamme, mais cela met fin au sort. Au moment de l’incantation, ou au prix d’une action lors d’un tour de jeu ultérieur, vous pouvez la jeter sur une créature située dans un rayon de 9 m de vous. Effectuez une attaque de sort à distance. En cas de réussite, la cible subit 1d8 dégâts de feu. <br> Les dégâts de ce sort augmentent de 1d8 quand vous atteignez le niveau 5 (2d8), le niveau 11 (3d8) et le niveau 17 (4d8).";"Druide"
"0";"Rafale de vent";"Sort mineur de transmutation";"1 action";"9 m";"V, G";"instantanée";"Vous prenez brièvement le contrôle de l’air pour produire l’un des effets suivants en un point que vous voyez à portée. <br> • Une créature de taille M ou inférieure de votre choix doit réussir un JS Force sous peine d’être éloignée de 1,50 m de vous.<br> • Vous produisez un petit coup de vent capable de déplacer un petit objet qui n’est porté par aucune créature et ne pèse pas plus de 2,5 kg. L’objet peut être éloigné jusqu’à 3 m de vous. La force de cette poussée ne suffit pas à infliger des dégâts.<br> Vous produisez un effet sensoriel inoffensif faisant intervenir le vent, comme le bruissement des feuilles, le claquement de volets ou le flottement de vêtements.";"Druide"
"0";"Réparation";"Sort mineur de transmutation";"1 minute";"contact";"V, G, M ";"instantanée";"(deux magnétites) Ce sort répare une fêlure ou une déchirure de l’objet touché, comme un maillon brisé, les deux moitiés d’une clef, une cape déchirée, ou une outre percée. Tant que la fêlure ou la déchirure ne dépasse pas 30 centimètres de long ni de profondeur, vous la réparez et il n’en reste aucune trace. <br> Ce sort permet aussi de réparer un objet magique ou une créature artificielle, mais pas de restaurer sa magie.";"Druide"
"0";"Résistance";"Sort mineur d’abjuration";"1 action";"contact";"V, G, M ";"(C) 1 minute";"(une cape miniature) Vous touchez une créature consentante. Une fois avant la fin du sort, la cible peut lancer un d4 et en ajouter le résultat à un jet de sauvegarde de son choix. Elle peut lancer le dé avant ou après avoir effectué le jet de sauvegarde. Le sort prend alors fin.";"Druide"
"0";"Sauvagerie primitive";"Sort mineur de transmutation";"1 action";"personnelle";"G";"instantanée";"Vous canalisez une magie primale pour aiguiser vos dents ou vos ongles afin d’asséner une attaque corrosive. Effectuez une attaque de sort au corps à corps contre une créature située dans un rayon de 1,50 m de vous. Si l’attaque touche, la cible subit 1d10 dégâts d’acide. Une fois l’attaque effectuée, vos dents ou ongles reprennent leur forme initiale. <br> Les dégâts de ce sort augmentent de 1d10 quand vous atteignez le niveau 5 (2d10), le niveau 11 (3d10) et le niveau 17 (4d10).";"Druide"
"1";"Absorption des éléments";"Abjuration du 1er niveau";"1 réaction, que vous jouez quand vous subissez des dégâts d’acide, de feu, de foudre, de froid ou de tonnerre";"personnelle";"G";"1 round";"Le sort capte une partie de l’énergie qui s’abat sur vous, ce qui en atténue les effets et vous permet de renforcer votre prochaine attaque de corps à corps. Vous bénéficiez d’une résistance au type de dégâts déclencheur jusqu’au début de votre tour de jeu suivant. En outre, la première fois que vous touchez une cible avec une attaque de corps à corps à votre tour de jeu suivant, la cible subit 1d6 dégâts supplémentaires du type en question, puis le sort prend fin. <br> <i><b>À plus hauts niveaux.</b></i> Quand vous jetez ce sort en utilisant un emplacement du 2e niveau ou supérieur, les dégâts augmentent de 1d6 par niveau d’emplacement au-dessus du 1er.";"Druide"
"1";"Amitié avec les animaux";"Enchantement du 1er niveau";"1 action";"9 m";"V, G, M ";"24 heures";"(un peu de nourriture) Ce sort vous permet de convaincre un animal que vous ne lui voulez aucun mal. Choisissez une bête que vous voyez située à portée, qui elle-même doit pouvoir vous voir et vous entendre. Si son Intelligence est de 4 ou plus, le sort échoue. Autrement, elle doit réussir un JS Sagesse sous peine d’être charmée par vous pour toute la durée du sort. Si vous ou un de vos compagnons faites du mal à la cible, le sort prend fin. <br> <i><b>À plus hauts niveaux.</b></i> Quand vous jetez ce sort en utilisant un emplacement de sort du 2e niveau ou supérieur, vous pouvez affecter une bête supplémentaire par niveau d’emplacement  au-dessus du 1er.";"Druide"
"1";"Baies nourricières";"Transmutation du 1er niveau";"1 action";"contact";"V, G, M ";"instantanée";"(un brin de gui) Jusqu’à dix baies imprégnées de magie  apparaissent dans votre main. Une créature peut en manger une au prix d’une action, ce qui lui permet de récupérer 1 point de vie et la nourrit pour une journée. <br> Les baies qui ne sont pas consommées dans les 24 heures suivant l’incantation perdent leurs propriétés.";"Druide"
"1";"Charme-personne";"Enchantement du 1er niveau";"1 action";"9 m";"V, G";"1 heure";"Vous tentez de charmer un humanoïde que vous voyez à portée. La cible doit effectuer un JS Sagesse et bénéficie pour cela d’un avantage si vous ou vos compagnons la combattez. En cas d’échec, elle est charmée par vos soins tant que le sort persiste ou jusqu’à ce vous ou vos compagnons lui nuisiez. La créature charmée vous voit comme un ami. Quand le sort prend fin, la créature sait que vous l’avez charmée. <br> <i><b>À plus hauts niveaux.</b></i> Quand vous jetez ce sort en utilisant un emplacement de sort du 2e niveau ou supérieur, vous pouvez cibler une créature supplémentaire par niveau d’emplacement au-dessus du 1er. Les créatures doivent se situer dans un rayon de 9 m les unes des autres quand vous les ciblez.";"Druide"
"1";"Collet";"Abjuration du 1er niveau";"1 minute";"contact";"G, M ";"8 heures";"(7,50 m de corde, que le sort détruit) Vous lancez ce sort et créez avec la corde un cercle de 1,50 m de rayon au sol. À la fin de l’incantation, la corde disparaît et le cercle constitue un piège magique. <br> Ce piège est pratiquement invisible : il faut réussir un test d’Intelligence (Investigation) assorti de votre DD de sauvegarde des sorts pour le discerner. <br> Le piège s’active quand une créature de taille P, M ou G entre en contact avec le sol de la zone d’effet du sort. La créature doit alors réussir un JS Dextérité sous peine de se retrouver hissée magiquement dans les airs, la tête vers le bas, à  90 cm du sol. La créature reste alors suspendue ainsi, entravée, tant que le sort persiste. <br> Une créature ainsi entravée peut effectuer un JS Dextérité à la fin de chacun de ses tours de jeu et met un terme à l’effet sur elle-même en cas de réussite. Par ailleurs, la créature ou une autre à portée d’allonge peut au prix d’une action effectuer un test d’Intelligence (Arcanes) contre votre DD de sauvegarde des sorts. En cas de réussite, l’entravement prend fin. <br> Une fois le piège déclenché, le sort prend fin dès qu’il n’entrave plus de créature.";"Druide"
"1";"Communication avec les animaux";"Divination du 1er niveau (rituel)";"1 action";"personnelle";"V, G";"10 minutes";"Ce sort vous permet de comprendre les bêtes et de communiquer avec elles verbalement. Les connaissances et la conscience de nombreuses bêtes sont limitées par leur intelligence, mais elles pourront au moins vous donner des informations sur des monstres et lieux des environs, notamment ce qu’ils sont en mesure de percevoir ou ont perçu au cours de la journée écoulée. À la discrétion du MD, vous pourrez peut-être persuader une bête de vous rendre un petit service.";"Druide"
"1";"Couteau de glace";"Invocation du 1er niveau";"1 action";"18 m";"G, M ";"instantanée";"(une goutte d’eau ou un morceau de glace) Vous créez un fragment de glace que vous lancez sur une créature à portée. Effectuez une attaque de sort à distance contre la cible. Si l’attaque touche, la cible subit 1d10 dégâts perforants. Que l’attaque soit réussie ou non, le fragment explose et la cible, ainsi que toutes les créatures situées dans un rayon de 1,50 m d’elle doivent réussir un JS Dextérité, sous peine de subir 2d6 dégâts de froid. <br> <i><b>À plus hauts niveaux.</b></i> Quand vous jetez ce sort en utilisant un emplacement du 2e niveau ou supérieur, les dégâts de froid augmentent de 1d6 par niveau d’emplacement au-dessus du 1er.";"Druide"
"1";"Création ou destruction d’eau";"Transmutation du 1er niveau";"1 action";"9 m";"V, G, M ";"instantanée";"(une goutte d’eau si vous créez de l’eau, quelques grains de sable si vous en détruisez) Vous créez ou détruisez de l’eau. <br> <i><b>Création d’eau.</b></i> Vous créez jusqu’à 40 litres d’eau potable à portée, dans un récipient ouvert. Ou alors, elle tombe sous la forme d’une averse dans un cube de 9 m d’arête à portée et éteint les flammes exposées dans la zone. <br> <i><b>Destruction d’eau.</b></i> Vous détruisez jusqu’à 40 litres d’eau potable dans un récipient ouvert à portée. Ou alors, vous détruisez un cube de 9 m d’arête de brouillard à portée. <br> <i><b>À plus hauts niveaux.</b></i> Quand vous jetez ce sort en utilisant un emplacement de sort du 2e niveau ou supérieur, vous créez ou détruisez 40 litres d’eau supplémentaires (ou bien l’arête du cube augmente de 1,50 m) par niveau d’emplacement au-dessus du 1er.";"Druide"
"1";"Détection de la magie";"Divination du 1er niveau (rituel)";"1 action";"personnelle";"V, G";"(C) 10 minutes";"Pour toute la durée du sort, vous décelez la présence de magie dans un rayon de 9 m de vous. Si vous détectez de la magie de la sorte, vous pouvez, au prix d’une action, percevoir une légère aura autour de tout objet ou créature visibles et porteurs de magie dans la zone (vous en découvrez l’école de magie, le cas échéant). <br> Le sort est capable de pénétrer la plupart des obstacles, mais 90 cm de bois ou de terre, 30 cm de pierre, 2,5 cm de la plupart des métaux ou une mince feuille de plomb le bloquent.";"Druide"
"1";"Détection du poison et des maladies";"Divination du 1er niveau (rituel)";"1 action";"personnelle";"V, G, M ";"(C) 10 minutes";"(une feuille d’if) Pour toute la durée du sort, vous décelez la présence et la position de poisons, créatures venimeuses et maladies dans un rayon de 9 m de vous. Vous identifiez aussi le type de poison, de créature venimeuse ou de maladie dans chaque cas. <br> Le sort est capable de pénétrer la plupart des obstacles, mais 90 cm de bois ou de terre, 30 cm de pierre, 2,5 cm de la plupart des métaux ou une mince feuille de plomb le bloquent.";"Druide"
"1";"Enchevêtrement";"Invocation du 1er niveau";"1 action";"27 m";"V, G";"(C) 1 minute";"Des lianes et herbes folles jaillissent du sol dans une zone carrée de 6 m de côté à partir d’un point situé à portée. Le sol de la zone est un terrain difficile pour toute la durée du sort. <br> Une créature située dans la zone au moment de l’incantation doit réussir un JS Force sous peine d’être entravée par la flore tant que le sort persiste. Une créature entravée de la sorte peut, aux prix de son action, effectuer un test de Force assorti de votre DD de sauvegarde des sorts. En cas de réussite, elle se libère. <br> Les plantes invoquées se flétrissent quand le sort prend fin.";"Druide"
"1";"Grande foulée";"Transmutation du 1er niveau";"1 action";"contact";"V, G, M ";"1 heure";"(une pincée de terre) Vous touchez une créature. La VD de la cible augmente de 3 m tant que le sort persiste. <br> <i><b>À plus hauts niveaux.</b></i> Quand vous jetez ce sort en utilisant un emplacement de sort du 2e niveau ou supérieur, vous pouvez cibler une créature supplémentaire par niveau d’emplacement au-dessus du 1er.";"Druide"
"1";"Lien avec les bêtes";"Divination du 1er niveau";"1 action";"contact";"V, G, M ";"(C) 10 minutes";"(un morceau de fourrure enroulé dans un bout d’étoffe) Vous créez un lien télépathique avec une bête que vous touchez, à condition qu’elle vous soit amicale ou qu’elle soit charmée par vous. Le sort échoue si la valeur d’Intelligence de la bête est supérieure ou égale à 4. Tant que le sort persiste, le lien reste actif, à condition que vous restiez l’un et l’autre dans vos lignes de mire respectives. Ce lien vous permet de communiquer des messages télépathiques à la créature, qui peut de son côté vous transmettre ses émotions et impressions. Tant que le lien reste actif, la bête bénéficie d’un avantage aux jets d’attaque contre les créatures que vous voyez dans un rayon de 1,50 m de vous.";"Druide"
"1";"Lueurs féeriques";"Évocation du 1er niveau";"1 action";"18 m";"V";"(C) 1 minute";"Une lueur bleue, verte ou violette (à votre convenance) entoure tous les objets situés dans un cube de 6 m d’arête. Toute créature située dans la zone au moment de l’incantation est entourée elle aussi si elle rate un JS Dextérité. Pour toute la durée du sort, les créatures et les objets affectés dégagent une lumière faible sur un rayon de 3 m. <br> Les jets d’attaque effectués contre une créature ou un objet ainsi affecté bénéficient d’un avantage, sous réserve que les attaquants le voient. Enfin la créature ou l’objet affecté ne peut pas être invisible.";"Druide"
"1";"Mot de guérison";"Évocation du 1er niveau";"1 action bonus";"18 m";"V";"instantanée";"Une créature de votre choix que vous voyez à portée récupère un nombre de points de vie égal à 1d4 + votre modificateur de caractéristique d'incantation. Ce sort n’a aucun effet sur les créatures artificielles et les morts-vivants. <br> <i><b>À plus hauts niveaux.</b></i> Quand vous jetez ce sort en utilisant un emplacement de sort du 2e niveau ou supérieur, les soins augmentent de 1d4 par niveau d’emplacement au-dessus du 1er.";"Druide"
"1";"Nappe de brouillard";"Invocation du 1er niveau";"1 action";"36 m";"V, G";"(C) 1 heure";"Vous créez une sphère de brouillard de 6 m de rayon centrée sur un point situé à portée. Elle contourne les coins et sa zone est grandement voilée. Elle persiste pour toute la durée du sort ou jusqu’à ce qu’un vent modéré ou plus important (au moins 15 km/h) ne la disperse. <br> <i><b>À plus hauts niveaux.</b></i> Quand vous jetez ce sort en utilisant un emplacement de sort du 2e niveau ou supérieur, le rayon de la sphère augmente de 6 m par niveau d’emplacement au-dessus du 1er.";"Druide"
"1";"Purification de la nourriture et de l’eau";"Transmutation du 1er niveau (rituel)";"1 action";"3 m";"V, G";"instantanée";"Vous purifiez et rendez comestibles et potables la nourriture et les boissons non magiques situées dans une sphère de 1,50 m de rayon centrée sur un point de votre choix à portée.";"Druide"
"1";"Saut";"Transmutation du 1er niveau";"1 action";"contact";"V, G, M ";"1 minute";"(une patte arrière de sauterelle) Vous touchez une créature. La distance de saut de la cible est triplée tant que le sort persiste.";"Druide"
"1";"Secousse sismique";"Évocation du 1er niveau";"1 action";"personnelle (rayon de 3 m)";"V, G";"instantanée";"Vous faites trembler le sol sur un rayon de 3 m. Chaque créature autre que vous prise dans la zone doit effectuer un JS Dextérité. En cas d’échec, elle subit 1d6 dégâts contondants et se retrouve à terre. Si le sol en question est fait de terre ou de pierre, la zone constitue un terrain difficile jusqu’à ce qu’elle soit déblayée, chaque portion de 1,50 m demandant normalement 1 minute de travail pour ce faire. <br> <i><b>À plus hauts niveaux.</b></i> Quand vous jetez ce sort en utilisant un emplacement du 2e niveau ou supérieur, les dégâts augmentent de 1d6 par niveau d’emplacement au-dessus du 1er.";"Druide"
"1";"Soin des blessures";"Évocation du 1er niveau";"1 action";"contact";"V, G";"instantanée";"Une créature que vous touchez récupère un nombre de points de vie égal à 1d8 + votre modificateur de caractéristique d'incantation. Ce sort n’a aucun effet sur les morts-vivants et les créatures artificielles. <br> <i><b>À plus hauts niveaux.</b></i> Quand vous jetez ce sort en utilisant un emplacement de sort du 2e niveau ou supérieur, les soins augmentent de 1d8 par niveau de sort au-dessus du 1er.";"Druide"
"1";"Vague tonnante";"Évocation du 1er niveau";"1 action";"personnelle (cube de 4,50 m)";"V, G";"instantanée";"Vous produisez une vague de force particulièrement bruyante. Toute créature prise dans un cube de 4,50 m dont vous êtes l’origine doit effectuer un JS Constitution. En cas d’échec, la cible subit 2d8 dégâts de tonnerre et vous la repoussez de 3 m. En cas de réussite, les dégâts sont réduits de moitié et elle n’est pas repoussée. <br> Par ailleurs, vous repoussez automatiquement de 3 m les objets non fixés qui sont entièrement pris dans la zone d’effet, et le sort produit un coup de tonnerre audible dans un rayon de 90 m. <br> <i><b>À plus hauts niveaux.</b></i> Quand vous jetez ce sort en utilisant un emplacement de sort du 2e niveau ou supérieur, les dégâts augmentent de 1d8 par niveau d’emplacement au-dessus du 1er.";"Druide"
"2";"Amélioration de caractéristique";"Transmutation du 2e niveau";"1 action";"contact";"V, G, M ";"(C) 1 heure";"(de la fourrure ou une plume d’un animal) Vous touchez une créature et lui conférez une amélioration magique. Choisissez un des effets suivants / la cible en bénéficie jusqu’à la fin du sort. <br> <i><b>Endurance de l’ours.</b></i> La cible bénéficie d’un avantage aux tests de Constitution. Elle gagne aussi 2d6 points de vie temporaires, qui sont perdus quand le sort prend fin. <br> <i><b>Force de taureau.</b></i> La cible bénéficie d’un avantage aux tests de Force et sa charge maximale est doublée. <br> <i><b>Grâce féline.</b></i> La cible bénéficie d’un avantage aux tests de Dextérité. En outre, elle ne subit pas de dégâts quand elle tombe d’une hauteur de 6 m ou moins si elle n’est pas neutralisée. <br> <i><b>Splendeur de l’aigle.</b></i> La cible bénéficie d’un avantage aux tests de Charisme. <br> <i><b>Ruse de renard.</b></i> La cible bénéficie d’un avantage aux tests d’Intelligence. <br> <i><b>Sagesse du hibou.</b></i> La cible bénéficie d’un avantage aux tests de Sagesse. <br> <i><b>À plus hauts niveaux.</b></i> Quand vous jetez ce sort en utilisant un emplacement de sort du 3e niveau ou supérieur, vous pouvez cibler une créature supplémentaire par niveau d’emplacement au-dessus du 2e.";"Druide"
"2";"Attraction terrestre";"Transmutation du 2e niveau";"1 action";"90 m";"V";"(C) 1 minute";"Choisissez une créature que vous voyez à portée. Des bandelettes d’énergie jaune s’enroulent autour de la créature. La cible doit réussir un JS Force, sous peine de voir son éventuelle VD en vol réduite à 0 tant que le sort persiste. Une créature qui évolue dans les airs au moment d’être affectée par le sort entame sa descente vers le sol jusqu’à la fin du sort, à la vitesse de 18 m par round, sans risquer de dégâts de chute.";"Druide"
"2";"Bourrasque";"Évocation du 2e niveau";"1 action";"personnelle (ligne de 18 m)";"V, G, M ";"(C) 1 minute";"(une graine de légumineuse) Une ligne de vent fort de 18 m de long et de 3 m de large jaillit de votre personne dans une direction que vous choisissez et persiste jusqu’à la fin du sort. Chaque créature qui commence son tour de jeu dans la ligne doit réussir un JS Force sous peine d’être repoussée de 4,50 m dans la direction de la ligne. <br> Toute créature prise dans la ligne doit dépenser le double du déplacement qu’elle effectue quand elle se rapproche de vous. <br> La bourrasque dissipe les gaz et vapeurs, et souffle les bougies, torches et autres flammes non protégées dans la zone. Les flammes protégées, comme celles des lanternes, vacillent violemment et ont 50 % de chance de s’éteindre. <br> Tant que le sort persiste, vous pouvez à chacun de vos tours de jeu changer la direction dans laquelle la ligne jaillit de votre personne, par une action bonus.";"Druide"
"2";"Chauffer le métal";"Transmutation du 2e niveau";"1 action";"18 m";"V, G, M ";"(C) 1 minute";"(un morceau de fer et une flamme) Choisissez un objet en métal manufacturé, comme une arme ou une armure lourde ou intermédiaire, que vous voyez à portée. L’objet est chauffé au rouge. Toute créature en contact physique avec lui subit 2d8 dégâts de feu au moment de l’incantation. Tant que le sort persiste, vous pouvez de nouveau infliger ces dégâts à chacun de vos tours de jeu suivants par une action bonus. <br> Si une créature tient ou porte l’objet et en subit les dégâts, elle doit réussir un JS Constitution sous peine de le lâcher si elle le peut. Si elle ne le lâche pas, elle subit un désavantage aux jets d’attaque et tests de caractéristique jusqu’au début de votre tour de jeu suivant. <br> <i><b>À plus hauts niveaux.</b></i> Quand vous jetez ce sort en utilisant un emplacement de sort du 3e niveau ou supérieur, les dégâts augmentent de 1d8 par niveau d’emplacement au-dessus du 2e.";"Druide"
"2";"Croissance d’épines";"Transmutation du 2e niveau";"1 action";"45 m";"V, G, M ";"(C) 10 minutes";"(sept épines acérées ou sept brindilles taillées en pointe) Le sol se couvre de pointes et d’épines sur un rayon de 6 m centré sur un point situé à portée. La zone devient un terrain difficile pour toute la durée du sort. Quand une créature s’y déplace ou y entre, elle subit 2d4 dégâts perforants par tranche de 1,50 m parcourue. <br> La zone paraît naturelle, car elle bénéficie d’un camouflage magique. Toute créature qui ne voit pas la zone au moment de l’incantation doit réussir un test de Sagesse (Perception) assorti de votre DD de sauvegarde des sorts pour comprendre que le terrain est dangereux avant de s’y aventurer.";"Druide"
